품번,품명,가격
188343,등갈비/백립 - 미국 | 스위프트(969) - 언그레이드,"7,500원"
188846,차돌양지 - 캐나다 | 캐내디언 다이아몬드 비프(38) - AA,"7,500원"
189438,우족 - 호주 | 스텐브룩,"7,500원"
188420,앞다리/전각 - 캐나다 | 엑셀(51) - AA,"7,600원"
152193,차돌양지 - 미국 | 엑셀(86E) - 초이스,"7,650원"
123318,차돌양지 - 미국 | IBP - 초이스,"7,700원"
187681,앞다리/전각 - 캐나다 | 엑셀(93) - AA,"7,700원"
188427,차돌양지 - 미국 | 스위프트(3D) - 셀렉트,"7,700원"
189860,차돌양지 - 미국 | IBP - 초이스,"7,700원"
189517,등갈비/백립 - 미국 | 엑셀(ESA/앵거스)(86E) - 초이스(앵거스),"7,700원"
189533,일반갈비 - 뉴질랜드 | 실버펀팜(ME 84) - COW,"7,700원"
173722,[대량상품] 삼겹양지 - 호주 | AMH(517(AMH)) - GF,"7,760원"
161830,등갈비/백립 - 미국 | 1855(블랙앵거스)(969G(SWIFT1855)) - 초이스,"7,800원"
180559,토시살 - 호주 | 그레이트써든 - YP,"7,800원"
188895,차돌양지 - 미국 | 엑셀(86M) - 초이스,"7,850원"
180004,[대량상품] 알전각/볼라전각 - 미국 | 스위프트(969G) - 초이스,"7,860원"
188259,차돌양지 - 미국 | 엑셀(86R) - 초이스,"7,870원"
173674,등갈비/백립 - 미국 | 샘케인(337) - 언그레이드,"7,900원"
177435,일반갈비 - 호주 | 티스(294) - A,"7,900원"
177509,일반갈비 - 뉴질랜드 | 유니버설(ME127) - COW,"7,900원"
177851,토시살 - 미국 | 엑셀(354) - 셀렉트,"7,900원"
189861,등갈비/백립 - 호주 | AMH(4) - A,"7,900원"
182793,등갈비/백립 - 미국 | 오마하(960A),"7,940원"
178344,등갈비/백립 - 미국 | 오마하(960A),"7,950원"
160935,일반갈비 - 호주 | 티스(294) - A,"8,000원"
172134,등갈비/백립 - 미국 | 오마하(960A),"8,000원"
177146,일반갈비 - 호주 | AMG - S,"8,000원"
177531,알전각/볼라전각 3mm - 미국 | EXCELCUT - 초이스,"8,000원"
180136,등갈비/백립 - 미국 | 오마하(960A) - 프라임,"8,000원"
191164,뽈살 - 칠레 | 프리고오소노,"8,000원"
191882,등갈비/백립 - 미국 | 오마하(960A) - CAB,"8,000원"
178346,앞다리/전각 - 멕시코 | 수까르네(431) - GF,"8,090원"
141284,차돌양지 - 미국 | 엑셀(86R) - 초이스,"8,100원"
178295,앞다리/전각 - 멕시코 | 수까르네(431) - GF,"8,100원"
81718,알전각/볼라전각 - 캐나다 | EXCEL(93) - AAA,"8,150원"
155149,등갈비/백립 - 미국 | 엑셀(86K) - 셀렉트,"8,170원"
186968,등갈비/백립 - 미국 | 엑셀(86K) - 언그레이드,"8,170원"
186102,등갈비/백립 - 미국 | 엑셀(86K) - 셀렉트,"8,180원"
155141,차돌양지 - 미국 | 스위프트(3D) - 초이스,"8,190원"
176285,차돌양지 - 미국 | 스위프트(3D) - 초이스,"8,190원"
181201,앞사태 - 멕시코 | 수까르네(TIF 111) - GF,"8,190원"
181338,뒷사태 - 멕시코 | 수까르네(TIF 111) - GF,"8,190원"
153287,등갈비/백립 - 미국 | IBP(245E) - 언그레이드,"8,200원"
164859,등갈비/백립 - 호주 | AMG - S,"8,200원"
168407,등갈비/백립 - 미국 | 엑셀(86M) - 초이스,"8,200원"
168408,등갈비/백립 - 미국 | 엑셀(86M) - 초이스,"8,200원"
187350,앞사태 - 멕시코 | 수까르네 - GF,"8,200원"
187568,뒷사태 - 멕시코 | 수까르네 - GF,"8,200원"
159512,알전각/볼라전각 - 미국 | 엑셀(86R) - 초이스,"8,210원"
162777,토시살 - 미국 | 엑셀(86E) - 언그레이드,"8,240원"
137159,알전각/볼라전각 - 미국 | 엑셀(86R) - 초이스,"8,250원"
158489,등갈비/백립 - 미국 | 뎀코타 - 초이스,"8,250원"
191265,토시살 - 미국 | 엑셀(86K) - 언그레이드,"8,250원"
187722,알전각/볼라전각 - 미국 | 엑셀(86K) - 초이스,"8,270원"
156685,알전각/볼라전각 - 미국 | 엑셀(RRA/앵거스)(86R) - 초이스(앵거스),"8,290원"
188269,알전각/볼라전각 - 미국 | 엑셀(86K) - 초이스,"8,290원"
137618,차돌양지 - 미국 | 엑셀(86R) - 초이스,"8,300원"
161491,알전각/볼라전각 - 미국 | 엑셀(86M) - 초이스,"8,300원"
171484,알전각/볼라전각 - 미국 | 엑셀(ESA/앵거스)(86K(EXCEL/ESA)) - 초이스(앵거스),"8,300원"
186624,알전각/볼라전각 - 미국 | 샘케인(337) - 초이스,"8,300원"
187551,곱창 - 칠레 | 프리고오소노,"8,300원"
191162,곱창 - 칠레 | 프리고오소노,"8,300원"
137292,알전각/볼라전각 - 미국 | 엑셀(86E) - 초이스,"8,340원"
81719,알전각/볼라전각 - 미국 | 엑셀(86E) - 초이스,"8,350원"
161096,알전각/볼라전각 - 미국 | 스위프트(3D) - 초이스,"8,400원"
171188,안창살 - 뉴질랜드 | 아프코 - BEEF,"8,400원"
191251,토시살 - 뉴질랜드 | 아프코(ME32),"8,400원"
191252,안창살 - 뉴질랜드 | 아프코(ME32),"8,400원"
180007,[대량상품]알전각/볼라전각 - 호주 | AMH(384) - S,"8,480원"
142904,일반갈비 - 호주 | AMH(235) - A,"8,500원"
150496,뽈살 - 호주 | 카지노,"8,500원"
175928,토시살 - 뉴질랜드 | 유니버설(ME127),"8,500원"
180724,양깃머리 - 호주 | 오키 - BEEF,"8,500원"
190614,일반갈비 - 호주 | AMH(235) - A,"8,500원"
164262,차돌양지 - 미국 | 스위프트(969) - 초이스,"8,570원"
187383,차돌양지 - 미국 | 스위프트(969G) - 초이스,"8,580원"
114653,뽈살 - 호주 | 카지노(239),"8,600원"
123595,일반갈비 - 호주 | 미드필드(180) - A,"8,600원"
144903,뽈살 - 호주 | 놀란(80) - BEEF,"8,600원"
150003,뽈살 - 호주 | AMH(235) - S,"8,600원"
169545,삼겹양지 - 미국 | 엑셀 - 언그레이드,"8,600원"
183701,일반갈비 - 호주 | AMH(235) - A,"8,600원"
183702,일반갈비 - 호주 | AMH(4) - A,"8,600원"
191258,뽈살 - 호주 | AMH(4),"8,600원"
85783,삼겹양지 - 호주 | 킬코이(640) - GF,"8,690원"
158322,뽈살 - 미국 | AFG(410),"8,700원"
174126,[낱개상품]알전각/볼라전각 - 미국 | 엑셀 - 초이스,"8,700원"
190017,삼겹양지 - 호주 | 킬코이(640) - GF,"8,700원"
143864,삼겹양지 - 호주 | 킬코이 - GF,"8,780원"
189429,토시살 - 뉴질랜드 | 실버펀팜(PH 206),"8,790원"
129320,토시살 - 뉴질랜드 | 얼라이언스(21),"8,800원"
154773,차돌양지 - 뉴질랜드 | 아프코(ME32) - PS,"8,800원"
161152,살치살 - 캐나다 | 엑셀(93) - AA,"8,800원"
162672,안창살 - 호주 | 카지노(239),"8,800원"
163014,뽈살 - 호주 | 티스,"8,800원"
172690,일반갈비 - 뉴질랜드 | 실버펀팜 - BULL,"8,800원"
173672,차돌양지 - 호주 | 힐탑(128) - A,"8,800원"
188901,차돌양지 - 호주 | AMH - GF,"8,800원"
189428,앞다리/전각 - 뉴질랜드 | 실버펀팜(ME 52) - PS,"8,800원"
189427,일반갈비 - 뉴질랜드 | 실버펀팜(ME 9) - BULL,"8,800원"
190915,사태 - 호주 | 마가렛리버(와규) - MB4~5,"8,800원"
191452,사태 - 호주 | AMG - A,"8,800원"
190042,뽈살 - 호주 | AMH(4),"8,800원"
186134,앞/척갈비 - 호주 | 티스(7) - S,"8,870원"
153874,대창 - 미국 | AFG(410),"8,880원"
191257,앞/척갈비 - 호주 | 티스(7) - S,"8,880원"
153995,차돌양지 - 미국 | IBP - 초이스,"8,900원"
160532,뽈살 - 호주 | AMG - BEEF,"8,900원"
165653,등갈비/백립 - 호주 | AMG - GF,"8,900원"
170559,설깃 - 호주 | 티스(294) - S,"8,900원"
179441,앞다리/전각 - 호주 | AMH - GF,"8,900원"
181485,뽈살 - 호주 | 킬코이(640) - GF,"8,900원"
182171,앞다리/전각 - 호주 | 오키,"8,900원"
174352,설깃 - 호주 | 킬코이(640) - GF,"8,940원"
188574,뒷사태 - 호주 | 킬코이(640) - GF,"8,970원"
120210,뒷사태 - 호주 | 킬코이(640) - GF,"8,980원"
179448,[대량상품] 목심 - 호주 | AMH(235) - S,"8,980원"
157316,뽈살 - 호주 | AMH(384),"8,990원"
174351,뽈살 - 호주 | 킬코이(640) - GF,"8,990원"
185629,대창 - 미국 | 크릭스톤(27) - 언그레이드,"8,990원"
8049,뽈살 - 호주 | 하비(648),"9,000원"
143480,부채살 - 미국 | 스위프트 - 초이스,"9,000원"
154273,설깃 - 미국 | IBP - CAB,"9,000원"
156464,알목심 - 미국 | 스위프트 - CAB,"9,000원"
157878,등갈비/백립 - 미국 | NB(19336) - 초이스,"9,000원"
163094,립본 - 미국 | 오마하(960A) - 언그레이드,"9,000원"
168792,대창 - 미국 | 크릭스톤 - 언그레이드,"9,000원"
175808,사태 - 호주 | 힐탑(128) - A,"9,000원"
177288,사태 - 덴마크 | 스카레(DK834),"9,000원"
177294,부채살 - 덴마크 | 스카레(DK834),"9,000원"
177841,등갈비/백립 - 미국 | NB(19336) - 초이스,"9,000원"
178355,대창 - 멕시코 | 산타라 - GF,"9,000원"
179284,토시살 - 호주 | 놀란(80) - YG,"9,000원"
181924,사태 - 호주 | 오키(558) - GF,"9,000원"
182395,앞/척갈비 - 캐나다 | 엑셀(51) - A,"9,000원"
187776,알전각/볼라전각 - 미국 | 엑셀(86K) - 초이스,"9,000원"
187521,홍두깨 - 미국 | 크릭스톤(27) - 초이스,"9,050원"
184133,설깃 - 호주 | AMH(170) - GF,"9,060원"
124716,안창살(조각) - 미국 | 엑셀(86R) - 언그레이드,"9,090원"
